index,title,id,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness
1,Na Catena (feat. Roshelle),1n16h52XziJJhIvWAIlz6k,0.605,0.65,-9.483,0.108,0.558,165743,0.279,0.148
2,Io e Te – feat. CLARA,71lM1bdHszGTmGxBZVDMkx,0.707,0.652,-5.093,0.173,0.217,232836,0.125,0.0899
3,M' Manc (con Geolier & Sfera Ebbasta),0MLu1cFYL4ikdRTdasCQT9,0.704,0.703,-6.117,0.41,0.725,180000,0.048,0.0641
4,A Un Passo Dalla Luna,3YNcQUeVOpM3SDmwBeGfMK,0.78,0.755,-5.324,0.34,0.897,167313,0.39,0.0429
5,Superclassico,6Ahg1hncxUdK0ICqU03BCu,0.663,0.623,-6.458,0.0922,0.346,172200,0.0624,0.142
6,Bimbi Per Strada (Children),6KF78W66DcQ9m5YqR0r5Ig,0.806,0.642,-5.451,0.11,0.562,200821,0.0206,0.176
7,Caramelo,3gD4J3RUHy4OUuZ3qAiaiG,0.806,0.728,-3.766,0.153,0.698,217547,0.0531,0.0623
8,Como Llora,52zq2a71SGs3f1vJuv59ui,0.629,0.827,-3.966,0.084,0.486,187500,0.183,0.185
