PC1,PC2,PC3
98,78,71
32,50,16
48,25,24
75,84,36
63,50,74
75,84,42
10,61,86
90,74,66
108,38,42
13,47,40
6,47,73
-1,60,61
79,63,73
27,84,49
53,12,78
115,-14,65
48,87,61
17,-2,25
34,34,16
14,52,62
100,42,69
116,19,53
37,26,4
62,73,10
92,76,11
3,14,70
96,35,59
35,31,20
118,29,51
48,78,33
85,27,39
62,76,52
28,73,41
22,42,32
25,29,23
94,5,35
142,67,54
72,58,20
59,-22,42
44,-13,33
22,52,37
-7,42,70
37,59,16
73,90,89
12,82,57
91,40,101
111,71,49
33,70,19
26,89,37
51,30,110
127,83,71
103,20,50
38,70,84
68,5,46
6,48,81
27,93,34
38,9,11
87,37,46
17,47,42
123,33,62
127,41,59
35,79,22
4,81,64
31,67,23
43,33,11
113,28,61
0,30,53
13,55,46
48,98,31
59,82,33
97,32,41
22,50,34
119,79,40
32,38,11
120,34,68
-7,35,63
31,28,30
25,2,44
81,84,25
29,57,22
110,79,53
44,53,37
22,52,50
84,-16,47
5,72,71
77,68,3
29,43,24
30,41,4
29,61,13
81,21,73
79,44,80
15,72,52
60,92,42
50,47,33
60,83,29
37,68,62
33,92,39
-4,37,67
5,67,64
14,73,46
15,31,31
124,20,57
65,19,55
8,47,51
12,68,72
36,75,42
48,25,33
41,42,10
30,73,48
13,5,33
74,93,68
70,38,65
72,80,57
96,69,59
14,34,23
12,56,60
125,74,61
3,28,92
78,51,57
16,30,50
57,26,23
48,79,29
98,51,46
14,21,27
33,69,26
20,45,48
32,44,32
10,14,38
5,45,63
75,62,0
34,82,65
65,45,3
80,15,54
37,65,59
12,91,55
-3,14,52
103,69,32
-6,30,83
59,-13,31
20,12,14
27,54,41
81,36,60
27,91,74
24,63,54
21,65,65
9,52,46
117,18,66
17,56,54
105,11,66
103,66,24
101,44,68
13,52,36
37,42,24
111,-17,77
22,41,11
47,69,17
21,57,36
10,75,79
112,61,18
106,34,52
10,54,43
77,14,38
11,67,60
43,51,32
10,14,66
80,74,23
118,58,54
54,76,30
12,67,37
28,-1,32
67,35,68
19,89,43
70,56,62
81,-1,60
42,46,40
110,76,38
16,43,24
76,114,31
0,-8,58
30,42,-1
4,46,49
18,71,67
10,8,41
32,56,31
59,51,94
40,62,15
47,83,29
26,6,25
3,38,45
103,63,80
29,26,53
88,22,31
92,49,32
95,-19,44
29,60,75
60,7,44
65,46,17
38,78,51
59,18,36
17,8,26
10,70,53
94,39,74
23,47,44
112,52,54
44,77,15
88,57,70
14,23,31
139,50,28
46,18,32
48,25,39
35,0,49
14,57,49
7,56,66
32,76,48
16,76,52
70,59,7
25,80,30
108,18,77
28,50,70
105,85,53
49,85,46
65,84,-3
71,1,60
60,51,47
109,55,67
118,47,55
23,55,83
13,31,33
67,68,17
9,67,61
15,9,41
46,51,11
53,86,103
13,59,59
60,95,52
100,64,62
17,39,33
43,47,15
63,88,50
48,-24,57
36,32,9
21,44,49
2,36,50
63,64,78
12,63,42
16,51,42
135,67,54
74,15,32
21,92,78
-7,15,55
36,70,34
14,7,30
74,56,24
96,68,39
13,82,58
35,55,17
128,64,62
-2,36,56
77,35,28
11,77,74
19,59,31
122,49,63
61,51,26
41,77,29
97,73,63
130,67,70
53,67,11
46,28,42
51,97,11
33,1,47
10,5,62
79,67,39
33,83,37
46,-6,30
46,67,50
7,62,86
106,71,45
69,46,69
6,60,73
44,11,16
60,42,85
77,63,63
38,63,21
38,27,27
59,67,27
43,70,10
54,45,91
23,72,79
36,-14,13
88,86,87
29,95,51
35,58,99
32,64,72
29,61,89
86,9,41
23,-29,33
97,51,69
-3,67,82
101,71,65
117,67,52
29,-12,20
40,40,25
19,-26,46
54,95,20
61,36,39
22,40,61
51,68,72
66,72,70
31,49,10
46,60,25
16,90,41
26,43,52
36,87,84
104,75,77
131,78,55
16,78,61
41,68,19
51,68,42
49,79,8
11,59,52
31,56,16
34,78,29
22,37,44
93,60,38
123,80,50
59,13,53
20,70,56
107,51,58
21,73,56
27,77,84
26,50,20
53,39,67
105,75,88
29,47,35
95,66,67
25,57,54
24,50,13
22,38,16
80,72,77
52,75,51
35,26,30
48,29,28
3,9,86
121,44,65
55,37,29
83,19,64
132,65,42
19,10,36
25,69,78
107,31,69
87,71,74
57,74,35
109,65,89
118,60,53
10,66,42
15,55,48
112,20,81
75,14,90
101,24,63
85,27,62
42,35,53
113,5,63
50,85,4
6,66,70
51,46,18
67,46,55
84,46,71
59,46,64
34,60,86
28,54,47
54,30,28
24,83,91
93,86,46
26,79,77
18,33,73
106,-3,58
41,15,41
55,89,74
39,53,40
116,66,49
17,44,91
102,27,50
5,54,65
43,10,71
108,70,31
135,74,51
36,72,62
84,21,24
130,62,74
59,77,57
60,45,21
97,33,46
61,72,31
82,84,52
98,15,47
9,7,58
-6,-22,71
64,42,44
80,27,75
69,17,40
89,28,61
22,72,56
45,63,21
39,-7,56
6,58,85
98,-8,87
65,43,52
35,34,12
85,48,57
126,74,88
26,62,90
101,72,69
85,80,55
64,23,1
29,37,28
65,41,72
39,35,35
60,76,49
60,38,72
8,39,81
-11,13,65
45,91,63
81,83,105
139,30,62
49,38,31
12,39,59
42,45,37
22,69,73
110,7,45
64,30,51
25,10,80
53,70,44
35,39,76
67,52,101
97,31,95
38,38,48
11,11,30
121,18,69
99,56,62
54,59,53
33,72,56
26,13,44
49,47,84
31,76,80
77,-17,101
31,33,20
47,20,90
117,70,55
72,-3,80
72,75,13
29,51,78
58,71,57
86,53,48
29,64,45
41,36,95
26,60,89
42,63,6
80,26,63
148,82,41
69,-2,36
80,40,47
23,52,21
22,55,58
79,-18,82
120,33,44
33,94,37
106,40,89
134,73,39
51,76,6
28,51,52
106,12,46
70,62,84
63,24,32
2,45,85
71,45,53
68,75,44
41,50,94
60,91,74
6,67,65
77,35,93
42,50,83
35,40,41
43,44,40
87,92,79
14,12,58
102,61,19
61,65,92
50,55,63
31,83,73
24,29,78
103,11,77
78,26,116
139,61,36
89,66,46
38,48,47
57,39,18
70,74,-2
