Index,Title,Artist,Top Genre,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness
spotify:track:2d8ynGRikofLBsLy9iden9,August - DJ DimixeR Remix,Intelligency,belarusian indie,0.028175212145719965,1.5623385122675746,1.062878183783013,1.0758579294930946,0.9926383726101581,0.8816823487385584,-1.013676552751778,0.07230060348935347,0.41858797156091276
spotify:track:1cimjxWMAlfJ5nYupXVseJ,Gimme Gimme Feat. Bleech - Club Mix,Kevin McKay,deep groove house,0.09945852117725784,1.4674075419032215,1.1077449484550759,0.7201862277780522,0.3879066082826793,1.1666025988398228,0.3114729934837496,0.008850591116800166,0.26404436053935126
spotify:track:3B1Je3rlEac3p4ikYW13zw,Define,Dom Dolla,australian house,-0.04361288511365921,1.3000715941423278,0.6265875755926059,0.9207783249538344,0.6083912606320324,0.7179092915937371,0.8624650651604889,0.37396863873803515,0.27569337644549907
spotify:track:7pARbCUoO1CTzU5ucMEaVF,Summer 91,Noizu,bass house,0.06271714945083556,1.5333765213089583,0.7735649081390196,0.5020152313299627,1.189336298979913,0.7336135573473501,-1.2457482145857899,0.012424069220296947,0.3424810676407468
spotify:track:6RKFXPdoCBRcLljsxKZUNw,Move All Night,SNBRN,bass house,0.02694929787810604,1.1102096534136214,1.2330624635735972,0.4444623967261069,0.6038168902513404,0.41279784266639885,-0.020781358332773982,0.5152456800390707,0.28734239235164694
spotify:track:5cz0T1Q8AmpY18TDLAe2ja,Praise (feat. Gunna),Tchami,bass house,0.027778592823844588,1.0957286579343135,1.1402346745969147,-0.5712608516381779,1.4180548180145116,1.7925297624481125,0.29938592776322814,0.08331190229664005,0.4162581683796832
spotify:track:7JdiXX87BugXUDhQ89GEc8,Deep End - SIDEPIECE Remix,John Summit,deep groove house,0.09996330940509915,1.069984665971099,1.1804600498201439,-0.3304540122915006,2.1774003012093788,0.9467428782892408,-0.03991709185242059,0.25346763292244606,0.6267170557507543
spotify:track:2HCBnkp5UCXO5Y9JK3UKhM,Sad - Imanbek Remix,Rasster,,0.06271714945083556,1.2180126197595817,1.154158842943417,0.388354403158331,0.39476816385371727,1.1194898015789838,-0.598390421048809,1.0201033423354182,0.4193645726213226
spotify:track:6G7zxqKAXgLtjQS7FZeCxI,Neverland,KSHMR,big room,0.531485131605124,1.507632529345744,0.4827045026787482,0.8901958563568063,1.317418669639288,0.5765708998112201,-0.22165566738076642,0.006253586681119366,0.39140693444656777
spotify:track:0Xz3DTcdZI01mjKfNZrsC1,Mayhem,Steve Aoki,dance pop,0.16861450839146666,1.5510755157836682,0.9344664090319356,0.7170557388665454,3.9248097866337126,0.17499038982597342,-1.0485127484810282,0.0003324165677671424,0.2562783499352527
spotify:track:6lYdV7rTtv3dVpQ89htlRU,Calabria - Firebeatz Remix,Rune RK,dakke dak,0.17131873104061413,1.4143105584790916,0.9839745631528329,1.162789198497245,1.4820960033441992,0.8861692818110193,0.5856330904793248,0.0015208057975346764,0.5451739444077194
spotify:track:0WSjVLITbxV6kVXndziQDm,Drop That Low (When I Dip),Tujamo,dance pop,0.08983148854629153,1.441663549940007,0.9066180723389309,0.8569645125269649,0.5534988160637286,0.2310770532317341,-0.9729622261142319,0.019633353533746848,2.8889559447246667
spotify:track:3On0xk67ckVLs1qEpTF8mY,Bring It Back,Deorro,dance pop,0.16980436635709178,1.4545355459216143,1.1789129200038657,0.8733393776025389,1.9944254859817,1.162115665767362,-0.8457299553719008,0.0034695979260695488,0.6694301140732964
spotify:track:4WgM2becr135oJ7DfVNaCd,Booty Bounce - Radio Edit,Tujamo,dance pop,0.17131873104061413,1.5784285072445836,1.0164642892946718,1.0096360486727582,0.26394117096592684,1.2630716598977312,0.06423524497725171,0.06128930468206687,0.28345938704959767
spotify:track:3b0cJPguhWOh2hjY6Lu192,The Beat,Mike Williams,big room,0.17167929406050123,1.5349855208066592,0.871034086564536,1.4100978225062826,1.2350800027868327,1.7678516305495777,-0.9173108308915363,0.24723482227681212,0.21977810009598941
spotify:track:0HnV5R4fBuNCoh6XDetQmj,Rhythm Of The Night,Maurice West,edm,0.1698764789610689,1.3853485675204755,0.7843948168529659,1.0568341891847068,2.9413201547849384,0.5339450356228419,-0.4145906827344374,0.005484873368157849,0.7284517946644455
spotify:track:4yn4T3wztHmguBIeSVwWie,Riverside (Reloaded),Tujamo,dance pop,0.09819655060765563,1.4947605333641367,1.3676627575897866,0.8157865429986831,0.64956059405826,0.6506052955068242,-0.5852091577999035,0.0594194614883767,0.9396872830959265
spotify:track:6sdNWKtZvLcDWneu25V6eU,Flamenco (feat. Rage),Timmy Trumpet,australian dance,0.3516362972857953,1.3579955760595601,0.9360135388482136,0.8820084238190194,0.498606371495425,0.2781898504925731,-0.2902847542191799,0.0006232810645633919,0.35801308884894395
spotify:track:2Rrdun8PrVxUSJlLQtQP8M,Flute - Radio Mix,New World Sound,melbourne bounce international,0.17092211171873928,1.425573554962998,0.594097849450767,0.32309574969538146,0.3298121044478912,0.27370291742011227,0.013087872138834574,0.0015955995252822834,0.4589712267022253
spotify:track:4TuNI3WEMyLQAKRMJmcQdA,Narco,Blasterjaxx,big room,0.2418809140323804,1.5172865263319493,1.182007179636422,0.8774330938714325,0.3197484896103689,0.4643975729996987,0.2646260713964233,0.016288411820589977,0.552163353951408
